spectrogram_path,original_wav,label,gun_type,dataset
data/processed/spectrograms/firearms_58__high-standard-22lr_094.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_094.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_291_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_291_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_284_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_284_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_124.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_124.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_169.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_169.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_279_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_279_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_039.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_039.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_259_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_259_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_268_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_268_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_008.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_008.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_276_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_276_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_261_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_261_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_158.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_158.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_274_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_274_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_054.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_054.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_296_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_296_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_240_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_240_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_078.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_078.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_162.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_162.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_214.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_214.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_011.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_011.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_190.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_190.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_146.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_146.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_229.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_229.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_149.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_149.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_075.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_075.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_290_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_290_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_092.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_092.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_165.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_165.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_005.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_005.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_204.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_204.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_292_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_292_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_095.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_095.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_152.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_152.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_032.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_032.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_267_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_267_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_047.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_047.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_178.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_178.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_257_aug_pitch_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_257_aug_pitch_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_100.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_100.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_177.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_177.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_098.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_098.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_212.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_212.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_142.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_142.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_104.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_104.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_088.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_088.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_082.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_082.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_168.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_168.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_010.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_010.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_136.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_136.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_235_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_235_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_066.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_066.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_211.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_211.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_176.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_176.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_065.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_065.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_156.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_156.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_143.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_143.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_189.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_189.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_055.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_055.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_041.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_041.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_222.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_222.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_194.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_194.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_052.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_052.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_217.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_217.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_256_aug_time_down.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_256_aug_time_down.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_036.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_036.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_163.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_163.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_016.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_016.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_289_aug_pitch_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_289_aug_pitch_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_185.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_185.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_101.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_101.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_060.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_060.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_145.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_145.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_232_aug_time_up.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_232_aug_time_up.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_219.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_219.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_106.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_106.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_017.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_017.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_116.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_116.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_030.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_030.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_133.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_133.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_012.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_012.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_181.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_181.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_193.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_193.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_068.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_068.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_073.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_073.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_128.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_128.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_109.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_109.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_121.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_121.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_071.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_071.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_028.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_028.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_067.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_067.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_069.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_069.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_283_aug_noise.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_283_aug_noise.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_140.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_140.wav,gunshot,high-standard-22lr,firearms_58
data/processed/spectrograms/firearms_58__high-standard-22lr_006.npy,data/raw/firearms_58/dataset/high-standard-22lr/high-standard-22lr_006.wav,gunshot,high-standard-22lr,firearms_58
